Jurisdiction,Value,Race/ ethnicity,Year,Measure
Washington,51.8,White Non-Hispanic/Latino,2019,Increase Physical Activity
Wicomico,54.8,White Non-Hispanic/Latino,2019,Increase Physical Activity
Worcester,56.7,White Non-Hispanic/Latino,2019,Increase Physical Activity
Baltimore City,56.0,White Non-Hispanic/Latino,2019,Increase Physical Activity
State,50.6,All races/ ethnicities (aggregated),2017,Physical activity
Allegany,46.1,All races/ ethnicities (aggregated),2017,Physical activity
Anne Arundel,49.9,All races/ ethnicities (aggregated),2017,Physical activity
Baltimore City,46.7,All races/ ethnicities (aggregated),2017,Physical activity
Baltimore County,49.7,All races/ ethnicities (aggregated),2017,Physical activity
Calvert,57.8,All races/ ethnicities (aggregated),2017,Physical activity
Caroline,45.9,All races/ ethnicities (aggregated),2017,Physical activity
Carroll,41.6,All races/ ethnicities (aggregated),2017,Physical activity
Cecil,49.6,All races/ ethnicities (aggregated),2017,Physical activity
Charles,46.5,All races/ ethnicities (aggregated),2017,Physical activity
Dorchester,40.2,All races/ ethnicities (aggregated),2017,Physical activity
Frederick,56.5,All races/ ethnicities (aggregated),2017,Physical activity
Garrett,44.6,All races/ ethnicities (aggregated),2017,Physical activity
Harford,48.9,All races/ ethnicities (aggregated),2017,Physical activity
Howard,56.1,All races/ ethnicities (aggregated),2017,Physical activity
Kent,47.9,All races/ ethnicities (aggregated),2017,Physical activity
Montgomery,54.7,All races/ ethnicities (aggregated),2017,Physical activity
Prince George's,50.0,All races/ ethnicities (aggregated),2017,Physical activity
Queen Anne's,50.7,All races/ ethnicities (aggregated),2017,Physical activity
Saint Mary's,49.5,All races/ ethnicities (aggregated),2017,Physical activity
Somerset,48.2,All races/ ethnicities (aggregated),2017,Physical activity
Talbot,55.4,All races/ ethnicities (aggregated),2017,Physical activity
Washington,49.7,All races/ ethnicities (aggregated),2017,Physical activity
Wicomico,49.3,All races/ ethnicities (aggregated),2017,Physical activity
Worcester,52.1,All races/ ethnicities (aggregated),2017,Physical activity
State,47.8,Black Non-Hispanic,2017,Physical activity
Allegany,,Black Non-Hispanic,2017,Physical activity
Anne Arundel,36.0,Black Non-Hispanic,2017,Physical activity
Baltimore City,45.6,Black Non-Hispanic,2017,Physical activity
Baltimore County,49.8,Black Non-Hispanic,2017,Physical activity
Calvert,,Black Non-Hispanic,2017,Physical activity
Caroline,,Black Non-Hispanic,2017,Physical activity
Carroll,,Black Non-Hispanic,2017,Physical activity
Cecil,,Black Non-Hispanic,2017,Physical activity
Charles,45.3,Black Non-Hispanic,2017,Physical activity
Dorchester,28.7,Black Non-Hispanic,2017,Physical activity
Frederick,,Black Non-Hispanic,2017,Physical activity
Garrett,,Black Non-Hispanic,2017,Physical activity
Harford,72.9,Black Non-Hispanic,2017,Physical activity
Howard,54.0,Black Non-Hispanic,2017,Physical activity
Kent,,Black Non-Hispanic,2017,Physical activity
Montgomery,46.4,Black Non-Hispanic,2017,Physical activity
Prince George's,50.1,Black Non-Hispanic,2017,Physical activity
Queen Anne's,,Black Non-Hispanic,2017,Physical activity
Saint Mary's,57.4,Black Non-Hispanic,2017,Physical activity
Somerset,,Black Non-Hispanic,2017,Physical activity
Talbot,,Black Non-Hispanic,2017,Physical activity
Washington,,Black Non-Hispanic,2017,Physical activity
Wicomico,35.7,Black Non-Hispanic,2017,Physical activity
Worcester,,Black Non-Hispanic,2017,Physical activity
State,42.9,Hispanic,2017,Physical activity
Allegany,,Hispanic,2017,Physical activity
Anne Arundel,,Hispanic,2017,Physical activity
Baltimore City,,Hispanic,2017,Physical activity
Baltimore County,,Hispanic,2017,Physical activity
Calvert,,Hispanic,2017,Physical activity
Caroline,,Hispanic,2017,Physical activity
Carroll,,Hispanic,2017,Physical activity
Cecil,,Hispanic,2017,Physical activity
Charles,,Hispanic,2017,Physical activity
Dorchester,,Hispanic,2017,Physical activity
Frederick,,Hispanic,2017,Physical activity
Garrett,,Hispanic,2017,Physical activity
Harford,,Hispanic,2017,Physical activity
Howard,,Hispanic,2017,Physical activity
Kent,,Hispanic,2017,Physical activity
Montgomery,41.9,Hispanic,2017,Physical activity
Prince George's,45.1,Hispanic,2017,Physical activity
Queen Anne's,,Hispanic,2017,Physical activity
Saint Mary's,,Hispanic,2017,Physical activity
Somerset,,Hispanic,2017,Physical activity
Talbot,,Hispanic,2017,Physical activity
Washington,,Hispanic,2017,Physical activity
Wicomico,,Hispanic,2017,Physical activity
Worcester,,Hispanic,2017,Physical activity
State,53.2,White Non-Hispanic,2017,Physical activity
Allegany,46.7,White Non-Hispanic,2017,Physical activity
Anne Arundel,53.0,White Non-Hispanic,2017,Physical activity
Baltimore City,48.9,White Non-Hispanic,2017,Physical activity
Baltimore County,51.1,White Non-Hispanic,2017,Physical activity
Calvert,55.9,White Non-Hispanic,2017,Physical activity
Caroline,50.1,White Non-Hispanic,2017,Physical activity
Carroll,40.2,White Non-Hispanic,2017,Physical activity
Cecil,51.0,White Non-Hispanic,2017,Physical activity
Charles,47.0,White Non-Hispanic,2017,Physical activity
Dorchester,45.4,White Non-Hispanic,2017,Physical activity
Frederick,59.2,White Non-Hispanic,2017,Physical activity
Garrett,44.0,White Non-Hispanic,2017,Physical activity
Harford,50.2,White Non-Hispanic,2017,Physical activity
Howard,62.1,White Non-Hispanic,2017,Physical activity
Kent,51.5,White Non-Hispanic,2017,Physical activity
Montgomery,62.6,White Non-Hispanic,2017,Physical activity
Prince George's,49.9,White Non-Hispanic,2017,Physical activity
Queen Anne's,51.0,White Non-Hispanic,2017,Physical activity
Saint Mary's,48.8,White Non-Hispanic,2017,Physical activity
Somerset,43.4,White Non-Hispanic,2017,Physical activity
Talbot,60.4,White Non-Hispanic,2017,Physical activity
Washington,51.5,White Non-Hispanic,2017,Physical activity
Wicomico,52.6,White Non-Hispanic,2017,Physical activity
Worcester,50.5,White Non-Hispanic,2017,Physical activity
State,49.2,Asian Non-Hispanic,2017,Physical activity
Allegany,,Asian Non-Hispanic,2017,Physical activity
Anne Arundel,,Asian Non-Hispanic,2017,Physical activity
Baltimore City,,Asian Non-Hispanic,2017,Physical activity
Baltimore County,,Asian Non-Hispanic,2017,Physical activity
Calvert,,Asian Non-Hispanic,2017,Physical activity
Caroline,,Asian Non-Hispanic,2017,Physical activity
Carroll,,Asian Non-Hispanic,2017,Physical activity
Cecil,,Asian Non-Hispanic,2017,Physical activity
Charles,,Asian Non-Hispanic,2017,Physical activity
