Jurisdiction,Value,Race/ ethnicity,Year,Measure
Carroll,41.1,White Non-Hispanic,2013,Weight
Cecil,32.0,White Non-Hispanic,2013,Weight
Charles,25.8,White Non-Hispanic,2013,Weight
Dorchester,34.2,White Non-Hispanic,2013,Weight
Frederick,38.1,White Non-Hispanic,2013,Weight
Garrett,37.4,White Non-Hispanic,2013,Weight
Harford,35.5,White Non-Hispanic,2013,Weight
Howard,45.9,White Non-Hispanic,2013,Weight
Kent,30.7,White Non-Hispanic,2013,Weight
Montgomery,46.6,White Non-Hispanic,2013,Weight
Prince George's,41.0,White Non-Hispanic,2013,Weight
Queen Anne's,42.3,White Non-Hispanic,2013,Weight
Saint Mary's,37.3,White Non-Hispanic,2013,Weight
Somerset,25.0,White Non-Hispanic,2013,Weight
Talbot,32.4,White Non-Hispanic,2013,Weight
Washington,28.5,White Non-Hispanic,2013,Weight
Wicomico,34.0,White Non-Hispanic,2013,Weight
Worcester,30.3,White Non-Hispanic,2013,Weight
State,57.6,Asian Non-Hispanic,2013,Weight
Montgomery,59.1,Asian Non-Hispanic,2013,Weight
State,36.2,All races/ ethnicities (aggregated),2012,Weight
Allegany,34.6,All races/ ethnicities (aggregated),2012,Weight
Anne Arundel,36.3,All races/ ethnicities (aggregated),2012,Weight
Baltimore City,39.7,All races/ ethnicities (aggregated),2012,Weight
Baltimore County,37.0,All races/ ethnicities (aggregated),2012,Weight
Calvert,38.7,All races/ ethnicities (aggregated),2012,Weight
Caroline,24.8,All races/ ethnicities (aggregated),2012,Weight
Carroll,29.4,All races/ ethnicities (aggregated),2012,Weight
Cecil,29.7,All races/ ethnicities (aggregated),2012,Weight
Charles,27.8,All races/ ethnicities (aggregated),2012,Weight
Dorchester,33.0,All races/ ethnicities (aggregated),2012,Weight
Frederick,38.5,All races/ ethnicities (aggregated),2012,Weight
Garrett,41.9,All races/ ethnicities (aggregated),2012,Weight
Harford,28.4,All races/ ethnicities (aggregated),2012,Weight
Howard,40.3,All races/ ethnicities (aggregated),2012,Weight
Kent,36.2,All races/ ethnicities (aggregated),2012,Weight
Montgomery,44.9,All races/ ethnicities (aggregated),2012,Weight
Prince George's,28.6,All races/ ethnicities (aggregated),2012,Weight
Queen Anne's,31.9,All races/ ethnicities (aggregated),2012,Weight
Saint Mary's,32.9,All races/ ethnicities (aggregated),2012,Weight
Somerset,41.5,All races/ ethnicities (aggregated),2012,Weight
Talbot,37.7,All races/ ethnicities (aggregated),2012,Weight
Washington,32.9,All races/ ethnicities (aggregated),2012,Weight
Wicomico,38.3,All races/ ethnicities (aggregated),2012,Weight
Worcester,30.0,All races/ ethnicities (aggregated),2012,Weight
State,28.7,Black Non-Hispanic,2012,Weight
Anne Arundel,16.9,Black Non-Hispanic,2012,Weight
Baltimore City,33.5,Black Non-Hispanic,2012,Weight
Baltimore County,31.2,Black Non-Hispanic,2012,Weight
Charles,18.0,Black Non-Hispanic,2012,Weight
Dorchester,20.1,Black Non-Hispanic,2012,Weight
Harford,16.8,Black Non-Hispanic,2012,Weight
Howard,9.7,Black Non-Hispanic,2012,Weight
Montgomery,38.3,Black Non-Hispanic,2012,Weight
