OBJECTID,Global ID,Recreational Trail Number,Sponsor,Project Name,Project Location,Fiscal Year,Award Amount,Project Phase,RTP Manager Internal Notes,District,County,Project Description,Legislative District,Completed Date,Project Type,Managed Use,Primary Project Category,Trail Class,Land/Water Based,Structure Review Required,OMT Clearance Required,MOU Execution Date,MOU Extension Date,NEPA Date,ROW Certification Date,Recent Inspection Date,Public Display,Capture Method,OpenStreetMap ID,OpenStreetMap Rel Type,Public Primary Project Category,FMIS Number,Project Authorized,Authorization Date,x,y
85,7ca096d8-d732-4a27-b670-26d18719cad5,RT1719,Historic Sotterley,Historic Sotterley Trail Restoration,,2017,4600,Closeout,,District 5,St. Mary's,,29A,5/4/2020 4:00:00 AM,Non-motorized,Hike only,Maintenance,3,Land,No,No,3/18/2019 4:00:00 AM,,7/15/2019 4:00:00 AM,9/5/2019 4:00:00 AM,,Yes,,,,Maintenance and Restoration,,,,1443301.30728091,258397.618170192
86,ff2f38f7-6da0-4ee2-b73b-53365fbf5def,RT1612,Historic Sotterley,Nature Trail Maintenance,,2016,30000,Closeout,,District 5,St. Mary's,,29A,1/4/2019 5:00:00 AM,Non-motorized,Hike only,Maintenance,3,Land,No,No,5/5/2016 4:00:00 AM,,10/12/2016 4:00:00 AM,5/31/2016 4:00:00 AM,,Yes,,,,Maintenance and Restoration,,,,1443301.30728091,258397.618170189
87,7873edd9-57d8-49e6-9bb3-ccfc9f1b91e7,RT1720,Town of Thurmont,Thurmont Trolley Trail Kiosk,,2017,5089,Closeout,,District 7,Frederick,,4,11/19/2019 5:00:00 AM,Non-motorized,Hike/Bike,Kiosks and/or Signage,5,Land,No,No,3/9/2018 5:00:00 AM,,2/23/2018 5:00:00 AM,3/27/2018 4:00:00 AM,,Yes,,,,Trail Amenities and Signage,,,,1197222.95169322,712696.694077655
88,34cee216-3e83-42f1-92a9-616649d6d2db,RT1711,Howard County Office of Transportation,Bicycle and Pedestrian Counters,,2017,27744,Closeout,,District 7,Howard,,13,7/21/2022 4:00:00 AM,Non-motorized,Hike/Bike,Assessment,5,Land,No,No,7/7/2017 4:00:00 AM,6/30/2022 4:00:00 AM,3/24/2017 4:00:00 AM,11/3/2017 4:00:00 AM,,Yes,,,,Other,,,,1368566.37437859,552746.487334719
89,96350d5e-fd62-405d-b3f8-fe5d6072d293,RT2006,DNR - MFS - Potomac-Garrett State Forest,Snaggy Mountain Snowmobile Trail Rehabilitation,,2020,95000,Design,,District 6,Garrett,This project will rehabilitate six miles of snowmobile trails at the State Forest complex.  The work will include improvements to the tread and replacement or critical maintenance to three trail bridges.,1A,,Motorized,Snowmobile,Maintenance,4,Land,Yes,Yes,4/5/2021 4:00:00 AM,,,,,Yes,,,,Maintenance and Restoration,,,,616625.794184734,660494.72548924
90,64e44439-ccae-435f-91de-10b9d347a69b,RT2014,DNR - MFS - Potomac-Garrett State Forest,5.5 Mile Trail Rehabilitation,,2020,125000,Design,,District 6,Garrett,This project will rehabilitate the 5.5 Mile Trail in Garrett State Forest that links Herrington Manor State Park to Swallow Falls State Park.  The work will include replacement or critical maintenance on seven trail bridges.,1A,,Non-motorized,Hike/Bike/Snowshoe/X-Country Ski,Maintenance,3,Land,Yes,Yes,4/5/2021 4:00:00 AM,,,,,Yes,,,,Maintenance and Restoration,,,,620812.737737013,662076.898485297
91,47b80fc9-220e-42dd-8220-b6effb98054e,RT2111,DNR - MPS - Greenbrier State Park,Greenbrier Trail System Upgrades,,2021,60000,Design / NEPA,,District 6,Washington,This project will include the construction of three trail reroutes and two bridges in Greenbrier State Park.  This project will include staff and volunteers rerouting a segment of the Snelling Fire Trail and the Water Tank Trail and utilize a contractor to reroute the segment of the Big Red Trail where it connects to the Mountain Laurel Road parking lot side trail to the northern end of the current Big Red Trail.,2A,,Non-motorized,Hike/Bike,New Trail with Structure,3,Land,Yes,No,4/12/2021 4:00:00 AM,,,,,Yes,,,,New Trail,,,,1136055.29886836,685922.989887131
92,846ce622-7c6a-40d3-ab65-19c9fc67a8da,RT1622,DNR - MPS - Greenbrier State Park,Greenbrier Red Trail Extension,,2016,39000,Closeout,,District 6,Washington,,2A,3/9/2021 5:00:00 AM,Non-motorized,Hike/Bike,New Trail with Structure,3,Land,No,No,2/16/2016 5:00:00 AM,,8/21/2018 4:00:00 AM,,,Yes,,,,New Trail,,,,1138715.31937072,683410.835529223
93,c7c41386-5ccd-4c3d-a19a-78ab5715a08a,RT2115,DNR - MPS - Tuckahoe State Park,Tuckahoe Valley Trail Bridge Reroute,,2021,47500,Design,,District 2,Caroline,"Project will replace a long-failing bridge along the Tuckahoe Valley Trail across an unnamed tributary to Tuckahoe Creek, moving the crossing location upstream.",36,,Non-motorized,Hike/Bike/Horse,New Trail with Structure,3,Land,Yes,No,4/12/2021 4:00:00 AM,,,,,Yes,,,,New Trail,,,,1612459.30889505,465255.538656894
95,a57ddba9-49d0-473a-bd52-ec79429d2053,RT2003,DNR - MPS - Deep Creek Lake State Park,Deep Creek Trail Resurfacing and Vault Toilet,,2020,29000,Closeout,,District 6,Garrett,"This project will purchase and install a new vault toilet, trail counters, and bulletin board at the trailhead.  In addition, 1,000 linear feet of 8-foot wide trail tread surface will be restored.",1A,11/21/2022 5:00:00 AM,Diverse,Hike/Bike,Maintenance,3,Land,No,Yes,11/27/2019 5:00:00 AM,,6/18/2020 4:00:00 AM,,8/9/2021 4:00:00 AM,Yes,,,,Maintenance and Restoration,,,,659098.324246358,688378.321076241
96,e0b497a1-730e-453b-b1eb-b3654569c5da,RT2005,DNR - MFS - Potomac-Garrett State Forest,Potomac Garrett SF Trail Maintenance 2020,,2020,42051,Closeout,,District 6,Garrett,This project will support contractual staff for maintenance and operation of the 80+ miles of trails at the State Forest complex.,1A,4/10/2023 4:00:00 AM,Diverse,OHV/Motorbike/Truck,Maintenance,3,Land,,,4/5/2021 4:00:00 AM,,6/9/2020 4:00:00 AM,,11/16/2022 5:00:00 AM,Yes,,,,Maintenance and Restoration,,,,667076.592150554,631715.746037657
97,4f63a0aa-270e-4d81-b5c6-0a21fabc16f9,RT2010,DNR - MFS - Southern Region State Forest,Southern Region SF Trail Maintenance 2020,,2020,34990,Closeout,,District 5,St. Mary's,This project will allow the Forest Service to continue to maintain 30 miles of trails and six trailhead parking areas on four Southern Region State Forests.,29C,6/12/2023 4:00:00 AM,Diverse,Hike/Bike/Horse,Maintenance,3,Land,,,4/5/2021 4:00:00 AM,,6/18/2020 4:00:00 AM,,2/18/2022 5:00:00 AM,Yes,,,,Maintenance and Restoration,,Yes,,1435468.23817104,210386.596592321
